"시군별(1)",시군별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"시군별(1)",시군별(2),합계,합계,노상,노상,노상,노상,노상,노상,노외,노외,노외,노외,노외,노외,부설,부설,합계,합계,노상,노상,노상,노상,노상,노상,노외,노외,노외,노외,노외,노외,부설,부설,합계,합계,노상,노상,노상,노상,노상,노상,노외,노외,노외,노외,노외,노외,부설,부설
"시군별(1)",시군별(2),소계,소계,소계,소계,유료,유료,무료,무료,소계,소계,공영,공영,민영,민영,소계,소계,소계,소계,소계,소계,유료,유료,무료,무료,소계,소계,공영,공영,민영,민영,소계,소계,소계,소계,소계,소계,유료,유료,무료,무료,소계,소계,공영,공영,민영,민영,소계,소계
"시군별(1)",시군별(2),주차장수 (개),면수 (면),주차장수 (개),면수 (면),주차장수 (개),면수 (면),주차장수 (개),면수 (면),주차장수 (개),면수 (면),주차장수 (개),면수 (면),주차장수 (개),면수 (면),주차장수 (개),면수 (면),주차장수 (개),면수 (면),주차장수 (개),면수 (면),주차장수 (개),면수 (면),주차장수 (개),면수 (면),주차장수 (개),면수 (면),주차장수 (개),면수 (면),주차장수 (개),면수 (면),주차장수 (개),면수 (면),주차장수 (개),면수 (면),주차장수 (개),면수 (면),주차장수 (개),면수 (면),주차장수 (개),면수 (면),주차장수 (개),면수 (면),주차장수 (개),면수 (면),주차장수 (개),면수 (면),주차장수 (개),면수 (면)
"합계",소계,495916,6354036,3231,107724,1560,43792,1671,63932,2947,202526,1690,121826,1257,80700,489738,6043786,510433,7088279,3488,107908,1772,44678,1716,63230,3026,213477,1646,123106,1380,90371,503919,6766894,503407,7105898,3451,111111,1841,48118,1610,62993,3253,219876,1848,127023,1405,92853,496703,6774911
"남부",소계,333272,4730342,3002,99527,1478,40662,1524,58865,2229,149507,1376,97207,853,52300,328041,4481308,353768,5356385,2983,97451,1467,39860,1516,57591,2183,154068,1313,97339,870,56729,348602,5104866,337574,5322506,2966,101068,1501,43402,1465,57666,2448,166057,1486,100338,962,65719,332160,5055381
"남부",수원시,27565,338982,1001,20123,831,16477,170,3646,248,15401,68,7832,180,7569,26316,303458,27813,379372,975,18852,812,16023,163,2829,265,16403,79,8452,186,7951,26573,344117,27880,409936,1035,22124,865,18644,170,3480,312,16918,79,8954,233,7964,26533,370894
"남부",성남시,14845,451069,360,7535,153,4721,207,2814,318,25141,259,18712,59,6429,14167,418393,15415,484780,368,7458,145,4418,223,3040,316,27026,262,20051,54,6975,14731,450296,16139,499283,326,6843,143,4371,183,2472,333,26237,287,19410,46,6827,15480,466203
"남부",안양시,7223,231620,481,14820,26,1831,455,12989,103,7951,81,6590,22,1361,6639,208849,7215,230648,481,14696,26,1707,455,12989,95,7103,73,5742,22,1361,6639,208849,7225,231454,489,15624,25,1681,464,13943,97,6981,75,5620,22,1361,6639,208849
"남부",부천시,17196,324950,288,8612,288,8612,-,-,188,11025,131,8070,57,2955,16720,305313,17750,317632,295,8566,295,8566,-,-,194,11653,136,8692,58,2961,17261,297413,18092,329566,309,9087,303,8829,6,258,230,12277,170,9286,60,2991,17553,308202
"남부",광명시,4765,136561,11,1042,9,663,2,379,52,4667,20,943,32,3724,4702,130852,4104,136107,11,1042,9,663,2,379,49,4649,18,927,31,3722,4044,130416,4237,137632,11,1036,9,657,2,379,50,6137,19,948,31,5189,4176,130459
"남부",평택시,25393,344722,71,3739,12,555,59,3184,220,11451,76,4569,144,6882,25102,329532,26688,368735,66,3559,12,555,54,3004,211,10553,65,3641,146,6912,26411,354623,28130,392837,70,3631,11,460,59,3171,215,10874,68,3821,147,7053,27845,378332
"남부",안산시,27146,334492,215,13189,17,1306,198,11883,265,13352,243,11775,22,1577,26666,307951,27395,354858,215,13178,17,1295,198,11883,198,15048,175,13428,23,1620,26982,326632,27871,363365,205,12839,17,1292,188,11547,256,14837,233,13217,23,1620,27410,335689
"남부",과천시,1673,33681,27,2411,20,1094,7,1317,77,1855,77,1855,-,-,1569,29415,1667,37523,27,2411,20,1094,7,1317,80,2295,77,1855,3,440,1560,32817,1654,47244,29,2462,20,1280,9,1182,80,2095,79,1956,1,139,1545,42687
"남부",오산시,5745,147392,61,1547,2,110,59,1437,79,5507,40,3220,39,2287,5605,140338,5879,149639,61,1439,2,2,59,1437,81,5661,42,3374,39,2287,5737,142539,5974,150989,64,1702,2,84,62,1618,86,6008,43,3617,43,2391,5824,143279
"남부",시흥시,14791,283728,24,7647,9,1035,15,6612,134,9472,79,6142,55,3330,14633,266609,14299,208281,24,7668,9,876,15,6792,150,10054,104,6924,46,3130,14125,190559,15305,326043,26,7780,9,891,17,6889,160,10171,114,7040,46,3131,15119,308092
"남부",군포시,3386,106298,18,3174,4,168,14,3006,60,3476,48,3087,12,389,3308,99648,3420,107823,18,3174,4,168,14,3006,63,3693,48,3109,15,584,3339,100956,3456,109097,18,3174,4,168,14,3006,64,3605,47,2961,17,644,3374,102318
"남부",의왕시,5752,81894,42,1260,4,242,38,1018,31,3069,22,2657,9,412,5679,77565,5608,79932,39,1185,3,192,36,993,32,3032,21,2549,11,483,5537,75715,2922,93532,32,973,3,778,29,195,32,2904,20,2355,12,549,2858,89655
"남부",하남시,14443,118805,20,836,13,590,7,246,29,2781,7,613,22,2168,14394,115188,7472,120065,16,682,10,467,6,215,62,4195,10,686,52,3509,7394,115188,7472,120244,15,648,10,443,5,205,63,4408,11,899,52,3509,7394,115188
"남부",용인시,25719,666627,42,2653,6,378,36,2275,51,3777,35,3476,16,301,25626,660197,68575,1177254,43,2713,7,438,36,2275,12,1720,12,1720,-,-,68520,1172821,25083,760521,42,2653,6,381,36,2272,69,9950,31,2751,38,7199,24972,747918
"남부",이천시,8216,116709,94,2084,35,705,59,1379,45,4514,14,1718,31,2796,8077,110111,9624,135011,94,2084,35,705,59,1379,45,4514,14,1718,31,2796,9485,128413,9678,136814,30,1996,11,701,19,1295,49,5272,18,2476,31,2796,9599,129546
"남부",안성시,2734,61928,81,1681,5,176,76,1505,51,1980,25,1355,26,625,2602,58267,3034,78382,81,1631,5,176,76,1455,58,2209,31,1563,27,646,2895,74542,4675,84831,81,1657,5,176,76,1481,68,2719,34,1676,34,1043,4526,80455
"남부",김포시,22246,207300,12,1107,7,813,5,294,73,6461,43,3415,30,3046,22161,199732,17523,234749,13,1518,9,1030,4,488,64,5316,36,2313,28,3003,17446,227915,19487,250837,14,1305,9,1030,5,275,68,5714,40,2706,28,3008,19405,243818
"남부",화성시,26933,496550,33,3073,7,461,26,2612,124,10487,40,4678,84,5809,26776,482990,29120,516815,34,2779,13,637,21,2142,128,12504,46,4885,82,7619,28958,501532,30550,527143,39,2882,16,791,23,2091,132,13050,50,5431,82,7619,30379,511211
"남부",광주시,40444,149510,15,671,-,-,15,671,27,1749,19,1424,8,325,40402,147090,23470,139337,15,494,4,130,11,364,30,1742,19,1327,11,415,23425,137101,41105,212409,18,497,6,127,12,370,34,1915,20,1416,14,499,41053,209997
"남부",여주시,4922,42280,61,1286,14,277,47,1009,24,2101,24,2101,-,-,4837,38893,5523,43988,62,1285,14,270,48,1015,19,1304,19,1304,-,-,5442,41399,6050,45983,62,1265,14,270,48,995,24,1572,24,1572,-,-,5964,43146
"남부",양평군,32135,55244,45,1037,16,448,29,589,30,3290,25,2975,5,315,32060,50917,32174,55454,45,1037,16,448,29,589,31,3394,26,3079,5,315,32098,51023,34589,92746,51,890,13,348,38,542,26,2413,24,2226,2,187,34512,89443
"북부",소계,162644,1623694,229,8197,82,3130,147,5067,718,53019,314,24619,404,28400,161697,1562478,156665,1731894,505,10457,305,4818,200,5639,843,59409,333,25767,510,33642,155317,1662028,165833,1783392,485,10043,340,4716,145,5327,805,53819,362,26685,443,27134,164543,1719530
"북부",의정부시,6240,167021,14,606,-,-,14,606,103,5703,40,3600,63,2103,6123,160712,6665,184731,281,3063,224,2321,57,742,102,5609,40,3995,62,1614,6282,176059,6865,190333,270,2744,258,2155,12,589,106,5317,46,3766,60,1551,6489,182272
"북부",동두천시,3800,111365,24,631,-,-,24,631,26,1120,21,934,5,186,3750,109614,3913,113490,24,631,-,-,24,631,28,1225,23,1039,5,186,3861,111634,3915,113371,24,630,-,-,24,630,30,1107,25,901,5,206,3861,111634
"북부",고양시,25128,489505,16,1177,6,658,10,519,128,14727,49,4548,79,10179,24984,473601,25344,503742,16,1064,6,498,10,566,132,15236,51,4708,81,10528,25196,487442,25426,511650,17,1188,7,622,10,566,137,15376,56,4848,81,10528,25272,495086
"북부",구리시,427,46770,12,413,9,294,3,119,9,1133,7,1090,2,43,406,45224,492,49037,12,413,9,294,3,119,9,1176,7,1133,2,43,471,47448,4639,58855,11,393,8,274,3,119,68,3670,9,1392,59,2278,4560,54792
"북부",남양주시,30667,330624,38,1004,12,645,26,359,111,7834,35,2380,76,5454,30518,321786,21505,391936,37,866,7,277,30,589,96,4881,43,2821,53,2060,21372,386189,21768,396695,34,813,7,276,27,537,93,4509,41,2699,52,1810,21641,391373
"북부",파주시,65906,231080,79,2221,24,464,55,1757,197,14717,73,6973,124,7744,65630,214142,67190,251654,80,2318,24,464,56,1854,320,22360,72,6872,248,15488,66790,226976,68805,251840,75,2209,22,407,53,1802,205,15125,80,7617,125,7508,68525,234506
"북부",양주시,15004,124683,7,210,2,54,5,156,59,3637,28,1734,31,1903,14938,120836,15605,131940,8,216,2,54,6,162,61,3697,30,1794,31,1903,15536,128027,17291,146634,8,216,2,54,6,162,65,3879,31,1816,34,2063,17218,142539
"북부",포천시,12938,93342,15,1006,10,483,5,523,55,2823,31,2035,24,788,12868,89513,5923,59893,15,1018,10,493,5,525,56,2819,31,2001,25,818,5852,56056,6389,64610,15,1018,10,493,5,525,56,2885,30,2014,26,871,6318,60707
"북부",연천군,219,14594,17,562,12,165,5,397,7,331,7,331,-,-,195,13701,331,14750,17,562,12,165,5,397,7,331,7,331,-,-,307,13857,444,15715,17,562,12,165,5,397,8,456,8,456,-,-,419,14697
"북부",가평군,2315,14710,7,367,7,367,-,-,23,994,23,994,-,-,2285,13349,9697,30721,15,306,11,252,4,54,32,2075,29,1073,3,1002,9650,28340,10291,33689,14,270,14,270,-,-,37,1495,36,1176,1,319,10240,31924
